Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.26629,16.362,7.7774,9.90557,5.75324,2.517,6.02171,5.58218,8.75789,4.88254,3.70395,7.06525,8.64678,7.94743,7.404,0.7395,9.4,0.7,5.9,8.36247,1.24858,2.64089,6.11085,4.99796,5.96531,3.95256,3.72296,2.62329,5.02634,4.853,4.71383,5.09807,3.64681,-2.01526,2.28354,0.41671,-3.44738,-6.58748,-1.77606,3.41892,6.57358,5.73348,5.64786,5.52943,-4.37247,6.63893,5.63215
Georgia,-,-,-,-,-,7.53563,6.25,4.45633,4.77815,12.05212,2.47094,2.83687,6.48276,8.80829,7.38095,6.09756,6.89655,7.42913,7.37035,4.57627,5.26742,2.00154,4.30189,5.42692,4.94166,-8.17528,1.28204,5.55556,-7.1952,-14.78823,-21.1,-44.9,-29.3,-10.39999,2.6,11.2,10.51904,3.1049,2.86926,1.83834,4.80545,5.47384,11.05872,5.7945,9.58957,9.41977,12.57895,2.41857,-3.65051,6.24949,7.4,6.36901,3.62131,4.43192,3.02221,2.90644,4.8426,4.84292,4.98235,-6.76044,10.46554,10.10872
Hong Kong,-,14.29122,15.76346,8.62817,14.64219,1.7948,1.60327,3.39738,11.34375,9.20687,7.29304,10.61185,12.27954,2.4152,0.49188,16.16433,11.72566,8.26088,11.55658,10.10814,9.26078,2.94987,5.97703,9.97379,0.75716,11.05616,13.39853,8.51159,2.27697,3.83054,5.70195,6.2349,6.20122,6.03615,2.37375,4.25851,5.09977,-5.88258,2.50664,7.66347,0.5608,1.6567,3.05629,8.70006,7.38815,7.03263,6.46484,2.12785,-2.45906,6.76769,4.81473,1.70032,3.10155,2.76238,2.38785,2.17542,3.7961,2.84692,-1.67243,-6.5448,6.44172,-3.47633
India,3.72274,2.93113,5.99435,7.45295,-2.63577,-0.05533,7.82596,3.38793,6.5397,5.15723,1.64293,-0.5533,3.29552,1.18534,9.14991,1.6631,7.25476,5.71253,-5.23818,6.73582,6.0062,3.47573,7.28889,3.82074,5.2543,4.77656,3.96536,9.62778,5.94734,5.53345,1.05683,5.4824,4.75078,6.65892,7.57449,7.54952,4.04982,6.18442,8.84576,3.84099,4.82397,3.80398,7.86038,7.92294,7.92343,8.06073,7.66082,3.0867,7.86189,8.49758,5.24132,5.45639,6.38611,7.41023,7.99625,8.25631,6.79538,6.45385,3.87144,-5.83105,9.05028,7.00295
Indonesia,5.74065,1.84198,-2.23703,3.5297,1.08159,2.79135,1.3804,10.91518,6.8223,7.55463,7.024,7.03764,8.10398,7.23424,5.60748,7.07965,8.26446,6.87023,7.14286,10,7.87879,2.24719,4.3956,6.84211,2.46305,5.76923,5,5.62771,7.78689,7.22433,6.77582,6.49751,6.49641,7.53997,8.22001,7.81819,4.69988,-13.12673,0.79113,4.92007,3.64347,4.49948,4.78037,5.03087,5.69257,5.50095,6.34502,6.0137,4.62887,6.22385,6.16978,6.03005,5.55726,5.00667,4.87632,5.03307,5.06979,5.17429,5.01929,-2.06551,3.70306,5.3086
Iran,10.39092,7.90927,7.04208,8.47523,17.03571,11.50241,11.2528,14.40418,15.51666,10.9276,13.70158,14.49902,7.44168,5.80105,-0.32622,18.26044,-2.77358,-12.84086,-12.02076,-21.59965,-5.69679,23.17125,11.08672,-7.13985,1.86765,-9.78491,-0.17211,-6.082,6.13212,13.59493,12.71615,3.29798,-1.47101,-1.69829,2.40104,6.35053,1.3504,2.08001,2.0027,5.84553,2.39217,8.07883,8.6393,4.33667,3.1898,4.9998,8.15577,0.25086,1.00739,5.79794,2.64572,-3.74717,-1.52198,4.98478,-1.42488,8.81509,2.75851,-2.25386,-2.65821,3.33029,4.71978,2.74917
Iraq,-,-,-,-,-,-,-,-,3.24419,4.54436,5.37455,3.7353,4.41876,16.11337,12.49066,17.1751,1.89996,17.05696,20.86926,24.75373,-0.72873,3.43398,-13.07331,-1.48524,1.4539,4.64759,9.30528,-0.01904,-3.11854,57.81783,-64.04711,32.59221,30.28983,3.85453,2.12002,11.02079,21.23794,34.8571,17.58227,16.92167,1.76148,-8.19847,-36.65815,53.38179,1.67189,5.6463,1.88557,8.22811,3.3793,6.40256,7.54647,13.93643,7.62857,0.19702,4.72286,13.78737,-1.81975,2.63385,5.51379,-12.03679,1.58339,7.00875
Israel,11.20389,10.15612,10.69571,7.93719,9.09397,-0.07964,2.99502,16.24196,13.5657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.92829,3.79045,4.11556,3.33049,8.67166,0.33407,-0.11422,1.39391,4.78447,4.13408,5.58267,6.03321,3.25116,0.88312,5.66852,5.56114,2.58765,4.4155,3.91913,2.48583,4.52168,4.2766,4.07032,4.15614,-1.85729,8.61199,6.46467
Japan,12.04354,8.90897,8.47364,11.67671,5.81971,10.63856,11.08214,12.88247,12.47789,2.45496,4.69899,8.41355,8.0326,-1.22524,3.09158,3.97498,4.39034,5.27194,5.48404,2.81759,4.26062,3.27974,3.6302,4.41088,5.15981,3.29405,4.64886,6.66164,4.92579,4.84093,3.52336,0.90059,-0.45922,1.08338,2.631,3.13387,0.98123,-1.27033,-0.33393,2.76465,0.3861,0.04196,1.53513,2.18612,1.8039,1.37235,1.48397,-1.22429,-5.69324,4.09792,0.02381,1.37475,2.0051,0.29621,1.56063,0.75383,1.67533,0.64339,-0.40217,-4.2786,2.14249,1.02862
Jordan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.29841,14.67957,20.80291,11.18485,17.17872,7.02594,-2.21974,4.29169,-2.70695,5.50463,2.32327,1.46217,-10.72922,-0.2759,1.60853,14.34978,4.48699,4.97148,6.20087,2.08702,3.30848,3.01217,3.38953,4.24571,5.26996,5.78381,4.16167,8.56721,8.14659,8.09298,8.17617,7.22039,5.02371,2.31483,2.73718,2.42936,2.60995,3.38408,2.49653,1.99418,2.4736,1.91907,1.75124,-1.60664,2.223,2.5038
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11,-5.3,-9.2,-12.6,-8.2,0.5,1.7,-1.9,2.7,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.4,4.8,6,4.2,1.2,1.1,4.1,4.1,4.5,-2.5,4.3,3.2
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.99047,8.43617,4.85829,0.60513,2.47333,3.66205,-1.78901,4.69458,0.21333,3.01428,17.32602,10.2403,10.60904,7.51477,5.99158,2.47976,-7.07606,-2.37026,9.62841,6.62582,1.1493,0.50088,0.59302,2.92587,-4.71211,2.43398,-0.55196,-8.85528,1.30806,8.17776
Kyrgyzstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.29997,13.20003,2.78975,5.7028,-7.94393,-13.83784,-15.45933,-20.08516,-5.42382,7.0845,9.91525,2.12184,3.65579,5.44334,5.32162,-0.01732,7.03029,7.02681,-0.17552,3.1029,8.54287,8.40162,2.88629,-0.47157,5.95627,-0.08815,10.91547,4.02404,3.87583,4.33586,4.73994,3.75791,4.60063,-8.39836,6.16764,7.02221
Laos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.06996,4.88513,-1.42579,-2.0102,14.19064,6.70458,4.29656,5.55986,5.91256,8.15902,7.03125,6.92832,6.87209,3.96761,7.30638,5.79878,5.75141,5.91874,6.067,6.3577,7.10757,8.61927,7.59683,7.8249,7.50177,8.52691,8.03865,8.0261,8.0263,7.61196,7.27007,7.02284,6.89253,6.24796,5.45774,0.50303,2.52835,2.70743
